edge_id,from_checkpoint_id,to_checkpoint_id,distance_meters,is_bidirectional,edge_type
E_OUT_CP001_CP002,OUT_CP001,OUT_CP002,19.893879088,1,outdoor_walk
E_OUT_CP002_CP003,OUT_CP002,OUT_CP003,17.22910266,1,outdoor_walk
E_OUT_CP002_CP005,OUT_CP002,OUT_CP005,31.608250161,1,outdoor_walk
E_OUT_CP003_CP004,OUT_CP003,OUT_CP004,9.863805254,1,outdoor_walk
E_OUT_CP005_CP006,OUT_CP005,OUT_CP006,25.127682625,1,outdoor_walk
E_OUT_CP005_CP039,OUT_CP005,OUT_CP039,42.516379244,1,outdoor_walk
E_OUT_CP006_CP007,OUT_CP006,OUT_CP007,58.377310034,1,outdoor_walk
E_OUT_CP007_CP008,OUT_CP007,OUT_CP008,27.539269889,1,outdoor_walk
E_OUT_CP007_CP043,OUT_CP007,OUT_CP043,42.324174826,1,outdoor_walk
E_OUT_CP008_CP009,OUT_CP008,OUT_CP009,19.76290499,1,outdoor_walk
E_OUT_CP008_CP044,OUT_CP008,OUT_CP044,43.771731823,1,outdoor_walk
E_OUT_CP009_CP010,OUT_CP009,OUT_CP010,67.470404555,1,outdoor_walk
E_OUT_CP009_CP059,OUT_CP009,OUT_CP059,18.536176632,1,outdoor_walk
E_OUT_CP010_CP011,OUT_CP010,OUT_CP011,18.147837183,1,outdoor_walk
E_OUT_CP011_CP012,OUT_CP011,OUT_CP012,32.557128894,1,outdoor_walk
E_OUT_CP012_CP013,OUT_CP012,OUT_CP013,43.442819717,1,outdoor_walk
E_OUT_CP013_CP014,OUT_CP013,OUT_CP014,22.772455226,1,outdoor_walk
E_OUT_CP014_CP015,OUT_CP014,OUT_CP015,23.034392483,1,outdoor_walk
E_OUT_CP015_CP016,OUT_CP015,OUT_CP016,43.628474664,1,outdoor_walk
E_OUT_CP016_CP017,OUT_CP016,OUT_CP017,37.975728859,1,outdoor_walk
E_OUT_CP017_CP018,OUT_CP017,OUT_CP018,46.413332447,1,outdoor_walk
E_OUT_CP018_CP019,OUT_CP018,OUT_CP019,21.708299718,1,outdoor_walk
E_OUT_CP018_CP072,OUT_CP018,OUT_CP072,30.04770651,1,outdoor_walk
E_OUT_CP019_CP020,OUT_CP019,OUT_CP020,23.496244436,1,outdoor_walk
E_OUT_CP020_CP021,OUT_CP020,OUT_CP021,10.851971093,1,outdoor_walk
E_OUT_CP020_CP022,OUT_CP020,OUT_CP022,57.983335971,1,outdoor_walk
E_OUT_CP022_CP023,OUT_CP022,OUT_CP023,60.058341676,1,outdoor_walk
E_OUT_CP023_CP024,OUT_CP023,OUT_CP024,22.974948917,1,outdoor_walk
E_OUT_CP024_CP025,OUT_CP024,OUT_CP025,21.351734478,1,outdoor_walk
E_OUT_CP025_CP026,OUT_CP025,OUT_CP026,25.362848051,1,outdoor_walk
E_OUT_CP026_CP027,OUT_CP026,OUT_CP027,19.982030077,1,outdoor_walk
E_OUT_CP027_CP028,OUT_CP027,OUT_CP028,35.425526108,1,outdoor_walk
E_OUT_CP028_CP029,OUT_CP028,OUT_CP029,42.120873502,1,outdoor_walk
E_OUT_CP029_CP030,OUT_CP029,OUT_CP030,31.763964547,1,outdoor_walk
E_OUT_CP029_CP055,OUT_CP029,OUT_CP055,52.531743519,1,outdoor_walk
E_OUT_CP030_CP054,OUT_CP030,OUT_CP054,52.31980893,1,outdoor_walk
E_OUT_CP030_CP031,OUT_CP030,OUT_CP031,27.594516666,1,outdoor_walk
E_OUT_CP031_CP032,OUT_CP031,OUT_CP032,26.728906395,1,outdoor_walk
E_OUT_CP032_CP052,OUT_CP032,OUT_CP052,52.026396278,1,outdoor_walk
E_OUT_CP032_CP033,OUT_CP032,OUT_CP033,27.307169763,1,outdoor_walk
E_OUT_CP033_CP034,OUT_CP033,OUT_CP034,12.112053275,1,outdoor_walk
E_OUT_CP033_CP035,OUT_CP033,OUT_CP035,26.493056853,1,outdoor_walk
E_OUT_CP035_CP036,OUT_CP035,OUT_CP036,24.43098348,1,outdoor_walk
E_OUT_CP036_CP037,OUT_CP036,OUT_CP037,52.761974157,1,outdoor_walk
E_OUT_CP036_CP052,OUT_CP036,OUT_CP052,25.718667059,1,outdoor_walk
E_OUT_CP037_CP038,OUT_CP037,OUT_CP038,25.31586239,1,outdoor_walk
E_OUT_CP037_CP004,OUT_CP037,OUT_CP004,18.830628923,1,outdoor_walk
E_OUT_CP037_CP002,OUT_CP037,OUT_CP002,44.547313536,1,outdoor_walk
