checkpoint_id,checkpoint_name,checkpoint_type,x_coord,y_coord,raw_map_x,raw_map_y,latitude,longitude,description,orientation
OUT_CP001,Campus Entry Gate 1,gate,0,0,97.251,43.182,,,Campus entry gate-1,south_west
OUT_CP002,Junction 3_5,junction,0.412,133.605,97.664,176.786,,,Joins checkpoint 3 & 5,south_west
OUT_CP003,Reception Entry,facility_entry,116.035,138.071,213.287,181.253,,,Entry to campus' reception,south_west
OUT_CP004,Admission Cell Entry,facility_entry,182.279,138.327,279.53,181.509,,,Entry to admission cell,south_west
OUT_CP005,ABB-3 Entry_1,facility_entry,1.775,345.879,99.026,389.06,,,Entry to ABB-3,south_west
OUT_CP006,Cafe Entry_1,facility_entry,0.422,514.629,97.673,557.811,,,Entry to campus' cafe (Annapurna),south_west
OUT_CP007,Portico_1,facility_entry,0.768,906.686,98.02,949.867,,,Fire truck stand,south_west
OUT_CP008,Parking _1,parking,2.05,1091.633,99.302,1134.815,,,Parking for 4 wheelers,south_west
OUT_CP009,Parking_2,parking,2.13,1224.359,99.381,1267.54,,,Parking for 2 wheelers,south_west
OUT_CP010,Campus Corner South_West,corner,3.341,1677.483,100.592,1720.665,,,Campus corner,south_west
OUT_CP011,ABB 2 Entry_1,facility_entry,125.184,1674.506,222.436,1717.687,,,Back entry to ABB-2,south_west
OUT_CP012,Junction 11_13,junction,343.831,1675.823,441.082,1719.004,,,Joins checkpoint 11 & 13,south_west
OUT_CP013,Narrow Passage_1,passage,635.576,1678.615,732.828,1721.797,,,Narrow passage 1,south_west
OUT_CP014,Girls Hostel Entry Back_1,hostel_entry,788.464,1674.708,885.715,1717.89,,,Entry to girls' hostel,south_west
OUT_CP015,Junction 14_16,junction,943.157,1673.587,1040.408,1716.768,,,Joins checkpoint 14 & 16,south_west
OUT_CP016,Laundry Entry,facility_entry,1236.14,1669.98,1333.391,1713.162,,,Entry to campus laundry,south_west
OUT_CP017,Narrow Passage_2,passage,1491.179,1671.182,1588.43,1714.364,,,Narrow passage 2,south_west
OUT_CP018,Narrow Passage_3,passage,1802.887,1671.399,1900.139,1714.581,,,Narrow passage 3,south_west
OUT_CP019,Girls Hostel Entry Back_2,hostel_entry,1948.678,1671.202,2045.93,1714.383,,,Entry to girls' hostel,south_west
OUT_CP020,Junction 20_22,junction,2106.476,1670.693,2203.727,1713.875,,,Joins checkpoint 20 & 22,south_west
OUT_CP021,Campus Entry Gate 3,gate,2179.356,1670.324,2276.607,1713.506,,,Campus entry gate-3,south_west
OUT_CP022,Main Passage Entry,passage,2114.029,1281.355,2211.28,1324.537,,,Main passage,south_west
OUT_CP023,Campus Corner North_East,corner,2111.862,878.014,2209.114,921.196,,,Campus corner,south_west
OUT_CP024,Girls Hostel Entry_3,hostel_entry,1957.605,874.464,2054.856,917.645,,,Entry to girls' hostel,south_west
OUT_CP025,Narrow Passage_4,passage,1814.269,870.3,1911.521,913.481,,,Narrow passage 4,south_west
