place_id,place_name,place_type,checkpoint_id,checkpoint_ids,description,keywords
PL_001,Gate 1,gate,OUT_CP001,OUT_CP001,,gate
PL_002,Cafeteria,food_hall,OUT_CP040,OUT_CP040,,cafe
PL_003,Open Air Theater,stage,OUT_CP047,OUT_CP047,,
PL_004,Ground,play_area,OUT_CP048,OUT_CP048,,
PL_005,Basketball Court,play_area,OUT_CP050,OUT_CP050,,
PL_006,Badminton Court,play_area,OUT_CP056,OUT_CP056,,
PL_007,Auditorium,stage,OUT_CP061,OUT_CP061,,
PL_008,Portico,meeting,OUT_CP007,OUT_CP007,,
PL_009,Mandir,worship,OUT_CP064,OUT_CP064,,
PL_010,Gate 2,gate,OUT_CP033,"OUT_CP033,OUT_CP034",,
PL_011,Gate 3,gate,OUT_CP020,OUT_CP020,,
PL_012,Annapurna Mess,food_hall,OUT_CP065,OUT_CP065,,
PL_013,A2Z,food_hall,OUT_CP067,OUT_CP067,,
PL_014,Parking,parking,OUT_CP008,OUT_CP008,,
PL_015,ABB-1 (front),building,OUT_CP052,"OUT_CP052,OUT_CP053,OUT_CP054,OUT_CP055",,
PL_016,ABB-1 (back),building,OUT_CP032,"OUT_CP032,OUT_CP031,OUT_CP030,OUT_CP029",,
PL_017,Jaypee Business School (front),building,OUT_CP062,"OUT_CP062,OUT_CP059,OUT_CP061",,
PL_018,Jaypee Business School (back),building,OUT_CP011,"OUT_CP011,OUT_CP012,OUT_CP013",,
PL_019,ABB-3 (front),building,OUT_CP003,"OUT_CP003,OUT_CP039,OUT_CP040,OUT_CP041,OUT_CP042",,
PL_020,ABB-3 (back),building,OUT_CP005,OUT_CP005,,
PL_024,Parking,parking,OUT_CP008,"OUT_CP008,OUT_CP049",,
PL_025,Workshop,lab,OUT_CP046,OUT_CP046,,
PL_026,LRC,library,OUT_CP040,OUT_CP040,,
PL_027,Laundry,laundry,OUT_CP016,OUT_CP016,,
PL_028,TV ROOM,entertainment,OUT_CP067,OUT_CP067,,
PL_029,MUSIC,entertainment,OUT_CP067,OUT_CP067,,
PL_030,GIRLS GYM,fitness,OUT_CP067,OUT_CP067,,
PL_031,Sarojini Bhawan,hostel,OUT_CP063,OUT_CP063,,
PL_032,"Maulana Azad Bhawan,H4",hostel,OUT_CP069,OUT_CP069,,
PL_033,"G.B. Pant Bhawan,H5",hostel,OUT_CP069,OUT_CP069,,
PL_034,"Rajendra Prasad Bhawan,H3",hostel,OUT_CP067,OUT_CP067,,
